"","Season","Competition","Matchday","Date","Venue","Club","Opponent","Result","Playing_Position","Minute","At_score","Type","Goal_assist"
"200","11-Dec","UEFA Champions League","Group Stage","11-01/11","A","FC Barcelona","FC Viktoria Plzen","0:04","CF",24,0.01,"Penalty",""
"201","11-Dec","UEFA Champions League","Group Stage","11-01/11","A","FC Barcelona","FC Viktoria Plzen","0:04","CF",452,0.02,"Left-footed shot","Adriano"
"202","11-Dec","UEFA Champions League","Group Stage","11-01/11","A","FC Barcelona","FC Viktoria Plzen","0:04","CF",902,0.04,"Left-footed shot","Gerard Pique"
"203","11-Dec","LaLiga","12","11/06/11","A","FC Barcelona","Athletic Bilbao","2:02","CF",90,2.02,"Left-footed shot",""
"204","11-Dec","LaLiga","13","11/19/11","H","FC Barcelona","Real Zaragoza","4:00","CF",43,2,"Right-footed shot","Cesc Fabregas"
"205","11-Dec","UEFA Champions League","Group Stage","11/23/11","A","FC Barcelona","AC Milan","2:03","SS",31,1.02,"Penalty",""
"206","11-Dec","LaLiga","17","11/29/11","H","FC Barcelona","Rayo Vallecano","4:00","CF",49,4,"Left-footed shot","Dani Alves"
"207","11-Dec","LaLiga","15","12-03/11","H","FC Barcelona","Levante UD","5:00","CF",55,4,"Left-footed shot","Dani Alves"
"208","11-Dec","FIFA Club World Cup","Final","12/18/11","A","FC Barcelona","Santos FC","0:04","RW",17,0.01,"Left-footed shot","Xavi"
"209","11-Dec","FIFA Club World Cup","Final","12/18/11","A","FC Barcelona","Santos FC","0:04","RW",82,0.04,"Left-footed shot","Dani Alves"
"210","11-Dec","Copa del Rey","last 16","01-04/12","H","FC Barcelona","CA Osasuna","4:00","CF",71,3,"Header","Cesc Fabregas"
"211","11-Dec","Copa del Rey","last 16","01-04/12","H","FC Barcelona","CA Osasuna","4:00","CF",90,4,"Left-footed shot","Xavi"
"212","11-Dec","LaLiga","19","1/15/12","H","FC Barcelona","Real Betis Balompie","4:02","CF",12,2,"Right-footed shot","Alexis Sanchez"
"213","11-Dec","LaLiga","19","1/15/12","H","FC Barcelona","Real Betis Balompie","4:02","CF",86,4.02,"Penalty",""
"214","11-Dec","LaLiga","1","1/22/12","A","FC Barcelona","Malaga CF","1:04","CF",32,0.01,"Header","Adriano"
"215","11-Dec","LaLiga","1","1/22/12","A","FC Barcelona","Malaga CF","1:04","CF",51,0.03,"Left-footed shot","Thiago"
"216","11-Dec","LaLiga","1","1/22/12","A","FC Barcelona","Malaga CF","1:04","CF",77,0.04,"Left-footed shot","Pedro"
"217","11-Dec","LaLiga","22","02-04/12","H","FC Barcelona","Real Sociedad","2:01","CF",72,2,"Left-footed shot","Dani Alves"
"218","11-Dec","UEFA Champions League","last 16","2/14/12","A","FC Barcelona","Bayer 04 Leverkusen","1:03","CF",88,1.03,"Left-footed shot","Dani Alves"
"219","11-Dec","LaLiga","24","2/19/12","H","FC Barcelona","Valencia CF","5:01","CF",21,1.01,"Left-footed shot",""
"220","11-Dec","LaLiga","24","2/19/12","H","FC Barcelona","Valencia CF","5:01","CF",27,2.01,"Tap-in",""
"221","11-Dec","LaLiga","24","2/19/12","H","FC Barcelona","Valencia CF","5:01","CF",75,3.01,"Left-footed shot","Cristian Tello"
"222","11-Dec","LaLiga","24","2/19/12","H","FC Barcelona","Valencia CF","5:01","CF",84,4.01,"Left-footed shot","Sergio Busquets"
"223","11-Dec","LaLiga","25","2/26/12","A","FC Barcelona","Atletico de Madrid","1:02","CF",79,1.02,"Direct free kick",""
"224","11-Dec","UEFA Champions League","last 16","03/07/12","H","FC Barcelona","Bayer 04 Leverkusen","7:01","CF",25,1,"Left-footed shot","Xavi"
"225","11-Dec","UEFA Champions League","last 16","03/07/12","H","FC Barcelona","Bayer 04 Leverkusen","7:01","CF",42,2,"Left-footed shot","Andres Iniesta"
"226","11-Dec","UEFA Champions League","last 16","03/07/12","H","FC Barcelona","Bayer 04 Leverkusen","7:01","CF",50,3,"Right-footed shot","Cesc Fabregas"
"227","11-Dec","UEFA Champions League","last 16","03/07/12","H","FC Barcelona","Bayer 04 Leverkusen","7:01","CF",58,5,"Left-footed shot",""
"228","11-Dec","UEFA Champions League","last 16","03/07/12","H","FC Barcelona","Bayer 04 Leverkusen","7:01","CF",85,7,"Left-footed shot","Seydou Keita"
"229","11-Dec","LaLiga","27","03/11/12","A","FC Barcelona","Racing Santander","0:02","CF",28,0.01,"Left-footed shot","Cesc Fabregas"
"230","11-Dec","LaLiga","27","03/11/12","A","FC Barcelona","Racing Santander","0:02","CF",55,0.02,"Penalty",""
"231","11-Dec","LaLiga","28","3/17/12","A","FC Barcelona","Sevilla FC","0:02","CF",25,0.02,"Left-footed shot","Andres Iniesta"
"232","11-Dec","LaLiga","29","3/20/12","H","FC Barcelona","Granada CF","5:03","CF",16,2,"Left-footed shot","Isaac Cuenca"
"233","11-Dec","LaLiga","29","3/20/12","H","FC Barcelona","Granada CF","5:03","CF",66,3.02,"Left-footed shot","Dani Alves"
"234","11-Dec","LaLiga","29","3/20/12","H","FC Barcelona","Granada CF","5:03","CF",85,5.02,"Left-footed shot","Dani Alves"
"235","11-Dec","LaLiga","30","3/24/12","A","FC Barcelona","RCD Mallorca","0:02","CF",25,0.01,"Direct free kick",""
"236","11-Dec","LaLiga","31","3/31/12","H","FC Barcelona","Athletic Bilbao","2:00","CF",57,2,"Penalty",""
"237","11-Dec","UEFA Champions League","Quarter-Finals","04-03/12","H","FC Barcelona","AC Milan","3:01","RW",11,1,"Penalty",""
"238","11-Dec","UEFA Champions League","Quarter-Finals","04-03/12","H","FC Barcelona","AC Milan","3:01","RW",42,2.01,"Penalty",""
"239","11-Dec","LaLiga","32","04/07/12","A","FC Barcelona","Real Zaragoza","1:04","CF",39,1.02,"Left-footed shot","Alexis Sanchez"
"240","11-Dec","LaLiga","32","04/07/12","A","FC Barcelona","Real Zaragoza","1:04","CF",86,1.03,"Penalty",""
"241","11-Dec","LaLiga","33","04/10/12","H","FC Barcelona","Getafe CF","4:00","CF",44,2,"Left-footed shot","Andres Iniesta"
"242","11-Dec","LaLiga","34","4/14/12","A","FC Barcelona","Levante UD","1:02","CF",64,1.01,"Left-footed shot","Alexis Sanchez"
"243","11-Dec","LaLiga","34","4/14/12","A","FC Barcelona","Levante UD","1:02","CF",73,1.02,"Penalty",""
"244","11-Dec","LaLiga","36","4/29/12","A","FC Barcelona","Rayo Vallecano","0:07","CF",16,0.01,"Left-footed shot","Pedro"
"245","11-Dec","LaLiga","36","4/29/12","A","FC Barcelona","Rayo Vallecano","0:07","CF",88,0.07,"Left-footed shot","Pedro"
"246","11-Dec","LaLiga","20","05-02/12","H","FC Barcelona","Malaga CF","4:01","CF",34,2.01,"Penalty",""
"247","11-Dec","LaLiga","20","05-02/12","H","FC Barcelona","Malaga CF","4:01","CF",60,3.01,"Penalty",""
"248","11-Dec","LaLiga","20","05-02/12","H","FC Barcelona","Malaga CF","4:01","CF",63,4.01,"Left-footed shot","Andres Iniesta"
"249","11-Dec","LaLiga","37","05/05/12","H","FC Barcelona","RCD Espanyol Barcelona","4:00","CF",11,1,"Direct free kick",""
"250","11-Dec","LaLiga","37","05/05/12","H","FC Barcelona","RCD Espanyol Barcelona","4:00","CF",63,2,"Penalty",""
"251","11-Dec","LaLiga","37","05/05/12","H","FC Barcelona","RCD Espanyol Barcelona","4:00","CF",73,3,"Left-footed shot","Adriano"
"252","11-Dec","LaLiga","37","05/05/12","H","FC Barcelona","RCD Espanyol Barcelona","4:00","CF",78,4,"Penalty",""
"253","11-Dec","Copa del Rey","Final","5/25/12","H","FC Barcelona","Athletic Bilbao","3:00","CF",20,2,"Right-footed shot","Andres Iniesta"
"254","Dec-13","LaLiga","1","8/19/12","H","FC Barcelona","Real Sociedad","5:01","CF",10,2.01,"Left-footed shot","Pedro"
"255","Dec-13","LaLiga","1","8/19/12","H","FC Barcelona","Real Sociedad","5:01","CF",15,3.01,"Left-footed shot","Cristian Tello"
"256","Dec-13","Supercopa","final","8/23/12","H","FC Barcelona","Real Madrid","3:02","CF",60,2.01,"Penalty",""
"257","Dec-13","LaLiga","2","8/26/12","A","FC Barcelona","CA Osasuna","1:02","CF",74,1.01,"Left-footed shot","Alexis Sanchez"
"258","Dec-13","LaLiga","2","8/26/12","A","FC Barcelona","CA Osasuna","1:02","CF",79,1.02,"Left-footed shot","Jordi Alba"
"259","Dec-13","Supercopa","final","8/29/12","A","FC Barcelona","Real Madrid","2:01","CF",45,2.01,"Direct free kick",""
"260","Dec-13","LaLiga","4","9/15/12","A","FC Barcelona","Getafe CF","1:04","CF",74,0.02,"Penalty",""
"261","Dec-13","LaLiga","4","9/15/12","A","FC Barcelona","Getafe CF","1:04","CF",78,0.03,"Left-footed shot","Pedro"
"262","Dec-13","UEFA Champions League","Group Stage","9/19/12","H","FC Barcelona","Spartak Moscow","3:02","CF",71,2.02,"Left-footed shot","Cristian Tello"
"263","Dec-13","UEFA Champions League","Group Stage","9/19/12","H","FC Barcelona","Spartak Moscow","3:02","CF",80,3.02,"Header","Alexis Sanchez"
"264","Dec-13","LaLiga","7","10/07/12","H","FC Barcelona","Real Madrid","2:02","CF",31,1.01,"Left-footed shot",""
"265","Dec-13","LaLiga","7","10/07/12","H","FC Barcelona","Real Madrid","2:02","CF",60,2.01,"Direct free kick",""
"266","Dec-13","LaLiga","8","10/20/12","A","FC Barcelona","Deportivo de La Coruaa","4:05","CF",17,0.03,"Left-footed shot","Cesc Fabregas"
"267","Dec-13","LaLiga","8","10/20/12","A","FC Barcelona","Deportivo de La Coruaa","4:05","CF",43,2.04,"Left-footed shot","Cesc Fabregas"
"268","Dec-13","LaLiga","8","10/20/12","A","FC Barcelona","Deportivo de La Coruaa","4:05","CF",76,3.05,"Left-footed shot","Xavi"
"269","Dec-13","LaLiga","9","10/27/12","A","FC Barcelona","Rayo Vallecano","0:05","CF",48,0.02,"Left-footed shot","Marta Montoya"
"270","Dec-13","LaLiga","9","10/27/12","A","FC Barcelona","Rayo Vallecano","0:05","CF",89,0.05,"Right-footed shot","Cesc Fabregas"
"271","Dec-13","UEFA Champions League","Group Stage","11/07/12","A","FC Barcelona","Celtic FC","2:01","CF",901,2.01,"Tap-in",""
"272","Dec-13","LaLiga","11","11/11/12","A","FC Barcelona","RCD Mallorca","2:04","CF",43,0.02,"Left-footed shot","Sergio Busquets"
"273","Dec-13","LaLiga","11","11/11/12","A","FC Barcelona","RCD Mallorca","2:04","CF",70,2.04,"Left-footed shot","Alexis Sanchez"
"274","Dec-13","LaLiga","12","11/17/12","H","FC Barcelona","Real Zaragoza","3:01","CF",15,1,"Left-footed shot","Jordi Alba"
"275","Dec-13","LaLiga","12","11/17/12","H","FC Barcelona","Real Zaragoza","3:01","CF",60,3.01,"Left-footed shot","Marta Montoya"
"276","Dec-13","UEFA Champions League","Group Stage","11/20/12","A","FC Barcelona","Spartak Moscow","0:03","CF",27,0.02,"Right-footed shot",""
"277","Dec-13","UEFA Champions League","Group Stage","11/20/12","A","FC Barcelona","Spartak Moscow","0:03","CF",39,0.03,"Left-footed shot","Pedro"
"278","Dec-13","LaLiga","13","11/25/12","A","FC Barcelona","Levante UD","0:04","CF",46,0.01,"Left-footed shot","Andres Iniesta"
"279","Dec-13","LaLiga","13","11/25/12","A","FC Barcelona","Levante UD","0:04","CF",51,0.02,"Left-footed shot","Andres Iniesta"
"280","Dec-13","LaLiga","14","12-01/12","H","FC Barcelona","Athletic Bilbao","5:01","CF",24,2,"Left-footed shot","Xavi"
"281","Dec-13","LaLiga","14","12-01/12","H","FC Barcelona","Athletic Bilbao","5:01","CF",69,5.01,"Right-footed shot","Pedro"
"282","Dec-13","LaLiga","15","12/09/12","A","FC Barcelona","Real Betis Balompie","1:02","CF",16,0.01,"Left-footed shot","Andres Iniesta"
"283","Dec-13","LaLiga","15","12/09/12","A","FC Barcelona","Real Betis Balompie","1:02","CF",25,0.02,"Left-footed shot","Andres Iniesta"
"284","Dec-13","Copa del Rey","last 16","12/12/12","A","FC Barcelona","CÃ³rdoba CF","0:02","CF",10,0.01,"Left-footed shot","David Villa"
"285","Dec-13","Copa del Rey","last 16","12/12/12","A","FC Barcelona","CÃ³rdoba CF","0:02","CF",73,0.02,"Left-footed shot","Alexis Sanchez"
"286","Dec-13","LaLiga","16","12/16/12","H","FC Barcelona","Atletico de Madrid","4:01","CF",58,3.01,"Left-footed shot","Alexis Sanchez"
"287","Dec-13","LaLiga","16","12/16/12","H","FC Barcelona","Atletico de Madrid","4:01","CF",88,4.01,"Left-footed shot",""
"288","Dec-13","LaLiga","17","12/22/12","A","FC Barcelona","Real Valladolid CF","1:03","CF",59,0.02,"Left-footed shot","Xavi"
"289","Dec-13","LaLiga","18","01/06-13","H","FC Barcelona","RCD Espanyol Barcelona","4:00","CF",28,4,"Penalty",""
"290","Dec-13","LaLiga","19","1/13/13","A","FC Barcelona","Malaga CF","1:03","CF",26,0.01,"Right-footed shot",""
"291","Dec-13","Copa del Rey","Quarter-Finals","1/16/13","H","FC Barcelona","Malaga CF","2:02","CF",29,1.01,"Left-footed shot",""
"292","Dec-13","LaLiga","20","1/19/13","A","FC Barcelona","Real Sociedad","3:02","CF",6,0.01,"Left-footed shot","Andres Iniesta"
"293","Dec-13","Copa del Rey","Quarter-Finals","1/24/13","A","FC Barcelona","Malaga CF","2:04","CF",79,2.04,"Header","Dani Alves"
"294","Dec-13","LaLiga","21","1/27/13","H","FC Barcelona","CA Osasuna","5:01","CF",11,1,"Right-footed shot","Xavi"
"295","Dec-13","LaLiga","21","1/27/13","H","FC Barcelona","CA Osasuna","5:01","CF",28,2.01,"Penalty",""
"296","Dec-13","LaLiga","21","1/27/13","H","FC Barcelona","CA Osasuna","5:01","CF",56,4.01,"Left-footed shot","David Villa"
"297","Dec-13","LaLiga","21","1/27/13","H","FC Barcelona","CA Osasuna","5:01","CF",58,5.01,"Left-footed shot","Adriano"
"298","Dec-13","LaLiga","22","02-03-13","A","FC Barcelona","Valencia CF","1:01","CF",39,1.01,"Penalty",""
"299","Dec-13","LaLiga","23","02/10-13","H","FC Barcelona","Getafe CF","6:01","CF",13,2,"Left-footed shot","Thiago"
"300","Dec-13","LaLiga","24","2/16/13","A","FC Barcelona","Granada CF","1:02","CF",49,1.01,"Left-footed shot",""
"301","Dec-13","LaLiga","24","2/16/13","A","FC Barcelona","Granada CF","1:02","CF",72,1.02,"Direct free kick",""
"302","Dec-13","LaLiga","25","2/23/13","H","FC Barcelona","Sevilla FC","2:01","CF",60,2.01,"Left-footed shot","Cristian Tello"
"303","Dec-13","LaLiga","26","03-02-13","A","FC Barcelona","Real Madrid","2:01","CF",18,1.01,"Left-footed shot","Dani Alves"
"304","Dec-13","LaLiga","27","03/09-13","H","FC Barcelona","Deportivo de La Coruaa","2:00","CF",88,2,"Left-footed shot","Alexis Sanchez"
"305","Dec-13","UEFA Champions League","last 16","03/12-13","H","FC Barcelona","AC Milan","4:00","CF",5,1,"Left-footed shot","Xavi"
"306","Dec-13","UEFA Champions League","last 16","03/12-13","H","FC Barcelona","AC Milan","4:00","CF",40,2,"Left-footed shot","Andres Iniesta"
"307","Dec-13","LaLiga","28","3/17/13","H","FC Barcelona","Rayo Vallecano","3:01","CF",40,2,"Left-footed shot","David Villa"
"308","Dec-13","LaLiga","28","3/17/13","H","FC Barcelona","Rayo Vallecano","3:01","CF",57,3,"Left-footed shot","David Villa"
"309","Dec-13","LaLiga","29","3/30/13","A","FC Barcelona","Celta de Vigo","2:02","CF ",73,1.02,"Left-footed shot","Cristian Tello"
"310","Dec-13","UEFA Champions League","Quarter-Finals","04-02-13","A","FC Barcelona","Paris Saint-Germain","2:02","CF",38,0.01,"Left-footed shot","Dani Alves"
"311","Dec-13","LaLiga","33","4/27/13","A","FC Barcelona","Athletic Bilbao","2:02","CF",67,1.01,"Left-footed shot","Thiago"
"312","Dec-13","LaLiga","34","05/05-13","H","FC Barcelona","Real Betis Balompie","4:02","CF",60,3.02,"Direct free kick",""
"313","Dec-13","LaLiga","34","05/05-13","H","FC Barcelona","Real Betis Balompie","4:02","CF",71,4.02,"Left-footed shot","Alexis Sanchez"
"314","13/14","LaLiga","1","8/18/13","H","FC Barcelona","Levante UD","7:00","CF",13,2,"Left-footed shot","Pedro"
"315","13/14","LaLiga","1","8/18/13","H","FC Barcelona","Levante UD","7:00","CF",42,5,"Penalty",""
"316","13/14","LaLiga","3","09-01-13","A","FC Barcelona","Valencia CF","2:03","CF",11,0.01,"Left-footed shot","Cesc Fabregas"
"317","13/14","LaLiga","3","09-01-13","A","FC Barcelona","Valencia CF","2:03","CF",39,0.02,"Right-footed shot","Cesc Fabregas"
"318","13/14","LaLiga","3","09-01-13","A","FC Barcelona","Valencia CF","2:03","CF",41,0.03,"Left-footed shot","Neymar"
"319","13/14","LaLiga","4","9/14/13","H","FC Barcelona","Sevilla FC","3:02","CF",75,2,"Left-footed shot","Neymar"
"320","13/14","UEFA Champions League","Group Stage","9/18/13","H","FC Barcelona","Ajax Amsterdam","4:00","CF",22,1,"Direct free kick",""
"321","13/14","UEFA Champions League","Group Stage","9/18/13","H","FC Barcelona","Ajax Amsterdam","4:00","CF",55,2,"Left-footed shot","Sergio Busquets"
"322","13/14","UEFA Champions League","Group Stage","9/18/13","H","FC Barcelona","Ajax Amsterdam","4:00","CF",75,4,"Left-footed shot","Xavi"
"323","13/14","LaLiga","6","9/24/13","H","FC Barcelona","Real Sociedad","4:01","CF",8,2,"Header","Neymar"
"324","13/14","LaLiga","7","9/28/13","A","FC Barcelona","UD Almera","0:02","CF",21,0.01,"Left-footed shot","Pedro"
"325","13/14","UEFA Champions League","Group Stage","10/22/13","A","FC Barcelona","AC Milan","1:01","CF",23,1.01,"Left-footed shot","Andres Iniesta"
"326","13/14","UEFA Champions League","Group Stage","11/06-13","H","FC Barcelona","AC Milan","3:01","CF",30,1,"Penalty",""
"327","13/14","UEFA Champions League","Group Stage","11/06-13","H","FC Barcelona","AC Milan","3:01","CF",83,3.01,"Left-footed shot","Cesc Fabregas"
"328","13/14","Copa del Rey","last 16","01/08-14","H","FC Barcelona","Getafe CF","4:00","CF",90,3,"Left-footed shot","Marta Montoya"
"329","13/14","Copa del Rey","last 16","01/08-14","H","FC Barcelona","Getafe CF","4:00","CF",902,4,"Left-footed shot","Alex Song"
"330","13/14","Copa del Rey","last 16","1/16/14","A","FC Barcelona","Getafe CF","0:02","CF",43,0.01,"Right-footed shot","Cristian Tello"
"331","13/14","Copa del Rey","last 16","1/16/14","A","FC Barcelona","Getafe CF","0:02","CF",63,0.02,"Left-footed shot",""
"332","13/14","LaLiga","22","02-01-14","H","FC Barcelona","Valencia CF","2:03","CF",54,2.02,"Penalty",""
"333","13/14","LaLiga","23","02/09-14","A","FC Barcelona","Sevilla FC","1:04","CF",44,1.02,"Left-footed shot","Pedro"
"334","13/14","LaLiga","23","02/09-14","A","FC Barcelona","Sevilla FC","1:04","CF",56,1.03,"Left-footed shot","Andres Iniesta"
"335","13/14","Copa del Rey","Semi-Finals","02/12-14","A","FC Barcelona","Real Sociedad","1:01","CF",26,0.01,"Solo run",""
"336","13/14","LaLiga","24","2/15/14","H","FC Barcelona","Rayo Vallecano","6:00","CF",36,2,"Left-footed shot","Cesc Fabregas"
"337","13/14","LaLiga","24","2/15/14","H","FC Barcelona","Rayo Vallecano","6:00","CF",68,5,"Left-footed shot","Alexis Sanchez"
"338","13/14","UEFA Champions League","last 16","2/18/14","A","FC Barcelona","Manchester City","0:02","CF",54,0.01,"Penalty",""
"339","13/14","LaLiga","25","2/22/14","A","FC Barcelona","Real Sociedad","3:01","CF",36,1.01,"Left-footed shot","Marta Montoya"
"340","13/14","LaLiga","26","03-02-14","H","FC Barcelona","UD Almera","4:01","CF",24,2,"Direct free kick",""
"341","13/14","UEFA Champions League","last 16","03/12-14","H","FC Barcelona","Manchester City","2:01","CF",67,1,"Left-footed shot",""
"342","13/14","LaLiga","28","3/16/14","H","FC Barcelona","CA Osasuna","7:00","CF",18,1,"Left-footed shot","Alexis Sanchez"
"343","13/14","LaLiga","28","3/16/14","H","FC Barcelona","CA Osasuna","7:00","CF",63,4,"Left-footed shot","Andres Iniesta"
"344","13/14","LaLiga","28","3/16/14","H","FC Barcelona","CA Osasuna","7:00","CF",88,6,"Right-footed shot","Dani Alves"
"345","13/14","LaLiga","29","3/23/14","A","FC Barcelona","Real Madrid","3:04","CF",42,2.02,"Left-footed shot","Neymar"
"346","13/14","LaLiga","29","3/23/14","A","FC Barcelona","Real Madrid","3:04","CF",65,3.03,"Penalty",""
"347","13/14","LaLiga","29","3/23/14","A","FC Barcelona","Real Madrid","3:04","CF",84,3.04,"Penalty",""
"348","13/14","LaLiga","30","3/26/14","H","FC Barcelona","Celta de Vigo","3:00","CF",30,2,"Right-footed shot","Andres Iniesta"
"349","13/14","LaLiga","31","3/29/14","A","FC Barcelona","RCD Espanyol Barcelona","0:01","CF",77,0.01,"Penalty",""
"350","13/14","LaLiga","32","04/05-14","H","FC Barcelona","Real Betis Balompie","3:01","CF",15,1,"Penalty",""
"351","13/14","LaLiga","32","04/05-14","H","FC Barcelona","Real Betis Balompie","3:01","CF",86,3.01,"Penalty rebound","Antonio A05a"
"352","13/14","LaLiga","34","4/20/14","H","FC Barcelona","Athletic Bilbao","2:01","CF",74,2.01,"Direct free kick",""
"353","13/14","LaLiga","35","4/27/14","A","FC Barcelona","Villarreal CF","2:03","CF",83,2.03,"Right-footed shot","Cesc Fabregas"
"354","13/14","LaLiga","36","05-03-14","H","FC Barcelona","Getafe CF","2:02","CF",23,1,"Left-footed shot","Dani Alves"
"355","14/15","LaLiga","1","8/24/14","H","FC Barcelona","Elche CF","3:00","CF",42,1,"Left-footed shot","Sergio Busquets"
"356","14/15","LaLiga","1","8/24/14","H","FC Barcelona","Elche CF","3:00","CF",64,3,"Left-footed shot",""
"357","14/15","LaLiga","4","9/21/14","A","FC Barcelona","Levante UD","0:05","CF",77,0.05,"Right-footed shot",""
"358","14/15","LaLiga","6","9/27/14","H","FC Barcelona","Granada CF","6:00","CF",62,4,"Header","Dani Alves"
"359","14/15","LaLiga","6","9/27/14","H","FC Barcelona","Granada CF","6:00","CF",82,6,"Right-footed shot",""
"360","14/15","UEFA Champions League","Group Stage","9/30/14","A","FC Barcelona","Paris Saint-Germain","3:02","RW",12,1.01,"Left-footed shot","Andres Iniesta"
"361","14/15","LaLiga","7","10-04-14","A","FC Barcelona","Rayo Vallecano","0:02","CF",35,0.01,"Left-footed shot","Gerard Pique"
"362","14/15","LaLiga","8","10/18/14","H","FC Barcelona","SD Eibar","3:00","CF",74,3,"Left-footed shot","Neymar"
"363","14/15","UEFA Champions League","Group Stage","10/21/14","H","FC Barcelona","Ajax Amsterdam","3:01","CF",24,2,"Left-footed shot","Andres Iniesta"
"364","14/15","UEFA Champions League","Group Stage","11/05-14","A","FC Barcelona","Ajax Amsterdam","0:02","RW",36,0.01,"Header","Marc Bartra"
"365","14/15","UEFA Champions League","Group Stage","11/05-14","A","FC Barcelona","Ajax Amsterdam","0:02","RW",76,0.02,"Left-footed shot","Pedro"
"366","14/15","LaLiga","12","11/22/14","H","FC Barcelona","Sevilla FC","5:01","RW",21,1,"Direct free kick",""
"367","14/15","LaLiga","12","11/22/14","H","FC Barcelona","Sevilla FC","5:01","RW",73,4.01,"Tap-in","Neymar"
"368","14/15","LaLiga","12","11/22/14","H","FC Barcelona","Sevilla FC","5:01","RW",78,5.01,"Left-footed shot","Neymar"
"369","14/15","UEFA Champions League","Group Stage","11/25/14","A","FC Barcelona","APOEL Nicosia","0:04","CF ",38,0.02,"Right-footed shot","Rafinha"
"370","14/15","UEFA Champions League","Group Stage","11/25/14","A","FC Barcelona","APOEL Nicosia","0:04","CF ",58,0.03,"Right-footed shot","Dani Alves"
"371","14/15","UEFA Champions League","Group Stage","11/25/14","A","FC Barcelona","APOEL Nicosia","0:04","CF ",87,0.04,"Right-footed shot","Pedro"
"372","14/15","LaLiga","14","12/07-14","H","FC Barcelona","RCD Espanyol Barcelona","5:01","RW",451,1.01,"Left-footed shot","Xavi"
"373","14/15","LaLiga","14","12/07-14","H","FC Barcelona","RCD Espanyol Barcelona","5:01","RW",50,2.01,"Right-footed shot","Luis Suarez"
"374","14/15","LaLiga","14","12/07-14","H","FC Barcelona","RCD Espanyol Barcelona","5:01","RW",81,5.01,"Right-footed shot","Pedro"
"375","14/15","UEFA Champions League","Group Stage","12/10-14","H","FC Barcelona","Paris Saint-Germain","3:01","AM",19,1.01,"Right-footed shot","Luis Suarez"
"376","14/15","LaLiga","16","12/20/14","H","FC Barcelona","CÃ³rdoba CF","5:00","RW",82,4,"Right-footed shot",""
"377","14/15","LaLiga","16","12/20/14","H","FC Barcelona","CÃ³rdoba CF","5:00","RW",90,5,"Right-footed shot",""
"378","14/15","Copa del Rey","last 16","01/08-15","H","FC Barcelona","Elche CF","5:00","RW ",45,3,"Penalty",""
"379","14/15","LaLiga","18","01/11-15","H","FC Barcelona","Atletico de Madrid","3:01","RW",87,3.01,"Left-footed shot",""
"380","14/15","LaLiga","19","1/18/15","A","FC Barcelona","Deportivo de La Coruaa","0:04","RW",11,0.01,"Header","Ivan Rakitic"
"381","14/15","LaLiga","19","1/18/15","A","FC Barcelona","Deportivo de La Coruaa","0:04","RW",33,0.02,"Left-footed shot","Luis Suarez"
"382","14/15","LaLiga","19","1/18/15","A","FC Barcelona","Deportivo de La Coruaa","0:04","RW",62,0.03,"Left-footed shot","Ivan Rakitic"
"383","14/15","Copa del Rey","Quarter-Finals","1/21/15","H","FC Barcelona","Atletico de Madrid","1:00","RW ",85,1,"Penalty rebound",""
"384","14/15","LaLiga","20","1/24/15","A","FC Barcelona","Elche CF","0:06","CF",55,0.02,"Penalty",""
"385","14/15","LaLiga","20","1/24/15","A","FC Barcelona","Elche CF","0:06","CF",88,0.05,"Left-footed shot","Marc Bartra"
"386","14/15","LaLiga","21","02-01-15","H","FC Barcelona","Villarreal CF","3:02","RW",55,3.02,"Right-footed shot","Luis Suarez"
"387","14/15","LaLiga","22","02/08-15","A","FC Barcelona","Athletic Bilbao","2:05","RW",15,0.01,"Direct free kick",""
"388","14/15","Copa del Rey","Semi-Finals","02/11-15","H","FC Barcelona","Villarreal CF","3:01","RW",41,1,"Left-footed shot","Luis Suarez"
"389","14/15","LaLiga","23","2/15/15","H","FC Barcelona","Levante UD","5:00","CF",38,2,"Right-footed shot","Marc Bartra"
"390","14/15","LaLiga","23","2/15/15","H","FC Barcelona","Levante UD","5:00","CF",59,3,"Right-footed shot","Pedro"
"391","14/15","LaLiga","23","2/15/15","H","FC Barcelona","Levante UD","5:00","CF",65,4,"Penalty",""
"392","14/15","LaLiga","25","2/28/15","A","FC Barcelona","Granada CF","1:03","RW",70,1.03,"Right-footed shot","Luis Suarez"
"393","14/15","LaLiga","26","03/08-15","H","FC Barcelona","Rayo Vallecano","6:01","RW",56,3,"Penalty",""
"394","14/15","LaLiga","26","03/08-15","H","FC Barcelona","Rayo Vallecano","6:01","RW",63,4,"Tap-in",""
"395","14/15","LaLiga","26","03/08-15","H","FC Barcelona","Rayo Vallecano","6:01","RW",68,5,"Left-footed shot","Pedro"
"396","14/15","LaLiga","27","3/14/15","A","FC Barcelona","SD Eibar","0:02","RW ",31,0.01,"Penalty",""
"397","14/15","LaLiga","27","3/14/15","A","FC Barcelona","SD Eibar","0:02","RW ",55,0.02,"Header","Ivan Rakitic"
"398","14/15","LaLiga","30","04/08-15","H","FC Barcelona","UD Almera","4:00","RW",33,1,"Left-footed shot","Marc Bartra"
"399","14/15","LaLiga","31","04/11-15","A","FC Barcelona","Sevilla FC","2:02","RW",15,0.01,"Left-footed shot","Neymar"
